ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
8,"White Non-Hispanic",2018,"2018",126375,7184.000000000001,"Alexandria city, VA","05000US51510","alexandria-city-va"
9,"Hispanic",2018,"2018",74854,7363.999999999999,"Virginia Beach city, VA","05000US51810","virginia-beach-city-va"
7,"Two Or More",2018,"2018",65078,25547,"James City County, VA","05000US51095","james-city-county-va"
0,"Total",2018,"2018",78584,9204,"Albemarle County, VA","05000US51003","albemarle-county-va"
7,"Two Or More",2018,"2018",76052,54565.99999999999,"Frederick County, VA","05000US51069","frederick-county-va"
7,"Two Or More",2018,"2018",94884,24615,"Fairfax County, VA","05000US51059","fairfax-county-va"
7,"Two Or More",2018,"2018",116787,33679,"Loudoun County, VA","05000US51107","loudoun-county-va"
7,"Two Or More",2018,"2018",95793,18573,"Chesterfield County, VA","05000US51041","chesterfield-county-va"
0,"Total",2018,"2018",122394,4383,"Arlington County, VA","05000US51013","arlington-county-va"
9,"Hispanic",2018,"2018",91825,31977.999999999996,"Suffolk city, VA","05000US51800","suffolk-city-va"
7,"Two Or More",2018,"2018",27913,22867,"Montgomery County, VA","05000US51121","montgomery-county-va"
7,"Two Or More",2018,"2018",35377,11182,"Bedford County, VA","05000US51019","bedford-county-va"
0,"Total",2018,"2018",59820,4497,"Augusta County, VA","05000US51015","augusta-county-va"
7,"Two Or More",2018,"2018",111058,26392,"Arlington County, VA","05000US51013","arlington-county-va"
7,"Two Or More",2018,"2018",98165,27129,"Prince William County, VA","05000US51153","prince-william-county-va"
7,"Two Or More",2018,"2018",28960,22158,"Albemarle County, VA","05000US51003","albemarle-county-va"
6,"Other",2018,"2018",47734,28936.000000000004,"Virginia Beach city, VA","05000US51810","virginia-beach-city-va"
0,"Total",2018,"2018",64084,7730.000000000001,"Bedford County, VA","05000US51019","bedford-county-va"
9,"Hispanic",2018,"2018",46947,12956,"Roanoke city, VA","05000US51770","roanoke-city-va"
6,"Other",2018,"2018",93824,45188,"Suffolk city, VA","05000US51800","suffolk-city-va"
6,"Other",2018,"2018",51599,27626,"Richmond city, VA","05000US51760","richmond-city-va"
0,"Total",2018,"2018",80655,3052,"Chesterfield County, VA","05000US51041","chesterfield-county-va"
7,"Two Or More",2018,"2018",61320,11790,"Spotsylvania County, VA","05000US51177","spotsylvania-county-va"
6,"Other",2018,"2018",32140,9577,"Norfolk city, VA","05000US51710","norfolk-city-va"
6,"Other",2018,"2018",50625,23814,"Newport News city, VA","05000US51700","newport-news-city-va"
0,"Total",2018,"2018",122227,2180,"Fairfax County, VA","05000US51059","fairfax-county-va"
9,"Hispanic",2018,"2018",48439,12669,"Richmond city, VA","05000US51760","richmond-city-va"
7,"Two Or More",2018,"2018",91272,77489,"Stafford County, VA","05000US51179","stafford-county-va"
6,"Other",2018,"2018",40423,22035,"Chesapeake city, VA","05000US51550","chesapeake-city-va"
6,"Other",2018,"2018",49795,4114,"Alexandria city, VA","05000US51510","alexandria-city-va"
0,"Total",2018,"2018",92145,9810,"Fauquier County, VA","05000US51061","fauquier-county-va"
6,"Other",2018,"2018",57690,19938,"Stafford County, VA","05000US51179","stafford-county-va"
7,"Two Or More",2018,"2018",75649,28550,"Alexandria city, VA","05000US51510","alexandria-city-va"
7,"Two Or More",2018,"2018",95671,15678,"Chesapeake city, VA","05000US51550","chesapeake-city-va"
0,"Total",2018,"2018",80953,9163,"Frederick County, VA","05000US51069","frederick-county-va"
9,"Hispanic",2018,"2018",47862,21378,"Portsmouth city, VA","05000US51740","portsmouth-city-va"
6,"Other",2018,"2018",71721,6582,"Prince William County, VA","05000US51153","prince-william-county-va"
6,"Other",2018,"2018",35896,24205,"Montgomery County, VA","05000US51121","montgomery-county-va"
6,"Other",2018,"2018",92020,20021,"Loudoun County, VA","05000US51107","loudoun-county-va"
0,"Total",2018,"2018",91309,4928,"Hanover County, VA","05000US51085","hanover-county-va"
7,"Two Or More",2018,"2018",81170,21686,"Hampton city, VA","05000US51650","hampton-city-va"
6,"Other",2018,"2018",24306,18480,"Henrico County, VA","05000US51087","henrico-county-va"
6,"Other",2018,"2018",98993,43307,"Hanover County, VA","05000US51085","hanover-county-va"
0,"Total",2018,"2018",68069,2848,"Henrico County, VA","05000US51087","henrico-county-va"
9,"Hispanic",2018,"2018",40719,8009.000000000001,"Norfolk city, VA","05000US51710","norfolk-city-va"
6,"Other",2018,"2018",72483,12454,"Fairfax County, VA","05000US51059","fairfax-county-va"
6,"Other",2018,"2018",63880,23769,"Chesterfield County, VA","05000US51041","chesterfield-county-va"
7,"Two Or More",2018,"2018",42063,18687,"Newport News city, VA","05000US51700","newport-news-city-va"
0,"Total",2018,"2018",83190,7866,"James City County, VA","05000US51095","james-city-county-va"
6,"Other",2018,"2018",71156,18157,"Arlington County, VA","05000US51013","arlington-county-va"
7,"Two Or More",2018,"2018",53128,14564,"Norfolk city, VA","05000US51710","norfolk-city-va"
5,"Pacific Islander",2018,"2018",61566,7535,"Loudoun County, VA","05000US51107","loudoun-county-va"
0,"Total",2018,"2018",139915,4772,"Loudoun County, VA","05000US51107","loudoun-county-va"
9,"Hispanic",2018,"2018",60637,10534,"Newport News city, VA","05000US51700","newport-news-city-va"
5,"Pacific Islander",2018,"2018",63018,58369,"Arlington County, VA","05000US51013","arlington-county-va"
4,"Asian",2018,"2018",80619,10980,"Virginia Beach city, VA","05000US51810","virginia-beach-city-va"
